X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8815463.077,5428176.492,91,GO-2005988453,2005/05/18 04:00:00+00,2005,May,18,Wednesday,138,D42,Shooting,136,West Hill,136,West Hill (136),-79.19065218,43.75870273
-8850976.791,5425242.968,92,GO-2005781084,2005/05/27 04:00:00+00,2005,May,27,Friday,147,D31,Stabbing,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5096773,43.73966652
-8827069.787,5417549.396,93,GO-2005760646,2005/06/12 04:00:00+00,2005,June,12,Sunday,163,D55,Shooting,62,East End-Danforth,62,East End-Danforth (62),-79.29491704,43.68971268
-8852333.764,5429418.944,94,GO-20051000509,2005/06/24 04:00:00+00,2005,June,24,Friday,175,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.52186721,43.76676342
-8843277.213,5422432.089,95,GO-2005834756,2005/06/25 04:00:00+00,2005,June,25,Saturday,176,D32,Stabbing,32,Englemount-Lawrence,32,Englemount-Lawrence (32),-79.44051082,43.7214205
-8843017.9,5413964.52,96,GO-20051086009,2005/06/29 04:00:00+00,2005,June,29,Wednesday,180,D14,Shooting,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.43818137,43.6664221
-8857513.387,5426584.725,97,GO-2005884293,2005/07/06 04:00:00+00,2005,July,6,Wednesday,187,D23,Shooting,22,Humbermede,22,Humbermede (22),-79.56839654,43.74837419
-8815577.239,5429889.839,98,GO-20051150352,2005/07/15 04:00:00+00,2005,July,15,Friday,196,D42,Other,136,West Hill,136,West Hill (136),-79.19167772,43.76981817
-8824577.75,5418304.664,99,GO-2005863854,2005/07/17 04:00:00+00,2005,July,17,Sunday,198,D41,Other,121,Oakridge,121,Oakridge (121),-79.27253069,43.69461843
-8847910.799,5416150.585,100,GO-20051059962,2005/07/19 04:00:00+00,2005,July,19,Tuesday,200,D12,Shooting,111,Rockcliffe-Smythe,111,Rockcliffe-Smythe (111),-79.48213503,43.68062582
